CUST_CODE,SHOP_MONTH,C_YEAR,C_MONTH,PREVIOUS_MONTH,NEXT_MONTH,P_YEAR,P_MONTH
CUST0000003028,200709,2007,9,,200711,,
CUST0000007759,200611,2006,11,,200703,,
CUST0000067538,200802,2008,2,,,,
CUST0000151592,200605,2006,5,,200607,,
CUST0000181184,200606,2006,6,,200607,,
CUST0000203976,200706,2007,6,,200708,,
CUST0000219191,200604,2006,4,,200605,,
CUST0000223633,200608,2006,8,,,,
CUST0000226371,200604,2006,4,,200605,,
CUST0000227510,200604,2006,4,,200605,,
CUST0000243194,200703,2007,3,,200704,,
CUST0000251779,200712,2007,12,,,,
CUST0000265717,200604,2006,4,,200605,,
CUST0000286361,200605,2006,5,,200607,,
CUST0000311218,200604,2006,4,,200605,,
CUST0000324094,200609,2006,9,,,,
CUST0000343404,200709,2007,9,,200712,,
CUST0000350310,200609,2006,9,,,,
CUST0000386374,200605,2006,5,,200606,,
CUST0000453645,200709,2007,9,,,,
CUST0000467728,200609,2006,9,,200703,,
CUST0000468818,200710,2007,10,,200711,,
CUST0000483884,200707,2007,7,,,,
CUST0000485460,200606,2006,6,,200807,,
CUST0000506969,200606,2006,6,,200607,,
CUST0000523862,200712,2007,12,,200801,,
CUST0000529999,200708,2007,8,,200709,,
CUST0000576842,200606,2006,6,,200607,,
CUST0000579239,200703,2007,3,,,,
CUST0000584297,200605,2006,5,,200804,,
CUST0000615840,200709,2007,9,,,,
CUST0000658654,200707,2007,7,,200709,,
CUST0000659887,200609,2006,9,,200701,,
CUST0000706317,200607,2006,7,,200701,,
CUST0000711577,200606,2006,6,,200607,,
CUST0000721182,200604,2006,4,,200607,,
CUST0000741414,200703,2007,3,,200805,,
CUST0000748035,200704,2007,4,,200705,,
CUST0000782711,200609,2006,9,,200610,,
CUST0000822927,200604,2006,4,,,,
CUST0000846433,200710,2007,10,,200712,,
CUST0000848593,200611,2006,11,,200710,,
CUST0000857304,200605,2006,5,,200606,,
CUST0000883457,200605,2006,5,,200610,,
CUST0000884306,200708,2007,8,,200806,,
CUST0000895459,200612,2006,12,,200711,,
CUST0000897607,200609,2006,9,,200610,,
CUST0000899822,200604,2006,4,,200605,,
CUST0000910590,200605,2006,5,,200606,,
CUST0000914256,200703,2007,3,,,,
CUST0000971165,200605,2006,5,,200611,,
CUST0000993879,200709,2007,9,,,,
CUST0000038615,200607,2006,7,,,,
CUST0000047700,200604,2006,4,,200606,,
CUST0000066186,200708,2007,8,,,,
CUST0000069322,200604,2006,4,,200605,,
CUST0000075238,200711,2007,11,,200712,,
CUST0000103205,200606,2006,6,,200608,,
CUST0000122195,200611,2006,11,,200612,,
CUST0000140459,200609,2006,9,,200610,,
CUST0000140993,200604,2006,4,,200702,,
CUST0000166541,200610,2006,10,,,,
CUST0000167078,200606,2006,6,,200607,,
CUST0000173386,200803,2008,3,,,,
CUST0000175503,200711,2007,11,,,,
CUST0000207779,200609,2006,9,,200610,,
CUST0000208822,200605,2006,5,,200606,,
CUST0000215621,200609,2006,9,,200610,,
CUST0000264843,200607,2006,7,,,,
CUST0000271388,200802,2008,2,,200803,,
CUST0000279711,200605,2006,5,,,,
CUST0000310028,200612,2006,12,,,,
CUST0000311311,200604,2006,4,,200605,,
CUST0000325071,200707,2007,7,,200708,,
CUST0000334325,200710,2007,10,,,,
CUST0000336062,200606,2006,6,,200607,,
CUST0000344574,200611,2006,11,,,,
CUST0000345090,200607,2006,7,,,,
CUST0000347437,200712,2007,12,,,,
CUST0000416032,200612,2006,12,,200801,,
CUST0000462566,200604,2006,4,,200605,,
CUST0000475150,200711,2007,11,,200712,,
CUST0000487493,200612,2006,12,,,,
CUST0000501067,200607,2006,7,,,,
CUST0000527725,200705,2007,5,,200706,,
CUST0000532712,200610,2006,10,,200611,,
CUST0000555502,200607,2006,7,,200608,,
CUST0000577439,200801,2008,1,,,,
CUST0000631687,200709,2007,9,,,,
CUST0000657020,200604,2006,4,,200605,,
CUST0000676683,200607,2006,7,,200703,,
CUST0000707667,200604,2006,4,,200606,,
CUST0000709789,200609,2006,9,,200610,,
CUST0000743903,200604,2006,4,,200605,,
CUST0000784863,200604,2006,4,,200608,,
CUST0000797009,200710,2007,10,,,,
CUST0000801359,200707,2007,7,,,,
CUST0000828268,200606,2006,6,,200607,,
CUST0000830304,200704,2007,4,,,,
CUST0000835681,200611,2006,11,,200708,,
CUST0000846397,200605,2006,5,,,,
CUST0000925831,200604,2006,4,,200605,,
CUST0000944363,200611,2006,11,,200612,,
CUST0000946376,200709,2007,9,,200711,,
CUST0000951528,200706,2007,6,,,,
CUST0000980222,200704,2007,4,,200708,,
CUST0000994536,200803,2008,3,,,,
CUST0000002257,200607,2006,7,,,,
CUST0000044592,200708,2007,8,,200804,,
CUST0000048934,200709,2007,9,,,,
CUST0000082008,200612,2006,12,,200709,,
CUST0000117906,200704,2007,4,,,,
CUST0000130759,200612,2006,12,,,,
CUST0000162655,200607,2006,7,,200610,,
CUST0000183162,200710,2007,10,,200711,,
CUST0000195241,200709,2007,9,,,,
CUST0000208760,200605,2006,5,,200606,,
CUST0000225993,200606,2006,6,,200608,,
CUST0000244943,200709,2007,9,,,,
CUST0000246168,200802,2008,2,,,,
CUST0000255899,200604,2006,4,,200605,,
CUST0000277685,200608,2006,8,,200701,,
CUST0000280854,200611,2006,11,,200702,,
CUST0000298320,200706,2007,6,,,,
CUST0000302065,200710,2007,10,,200805,,
CUST0000312108,200604,2006,4,,200605,,
CUST0000345218,200706,2007,6,,,,
CUST0000354824,200803,2008,3,,200805,,
CUST0000364910,200604,2006,4,,200605,,
CUST0000378272,200611,2006,11,,200806,,
CUST0000379100,200612,2006,12,,200712,,
CUST0000382706,200608,2006,8,,200806,,
CUST0000414458,200604,2006,4,,200606,,
CUST0000420651,200607,2006,7,,200608,,
CUST0000441584,200607,2006,7,,200609,,
CUST0000460671,200609,2006,9,,,,
CUST0000477658,200803,2008,3,,200804,,
CUST0000482108,200604,2006,4,,200607,,
CUST0000529214,200605,2006,5,,200610,,
CUST0000529454,200706,2007,6,,200711,,
CUST0000549619,200607,2006,7,,200608,,
CUST0000561726,200708,2007,8,,200710,,
CUST0000562965,200610,2006,10,,,,
CUST0000567303,200712,2007,12,,,,
CUST0000575246,200606,2006,6,,200607,,
CUST0000587593,200703,2007,3,,200704,,
CUST0000590639,200606,2006,6,,200607,,
CUST0000591569,200705,2007,5,,,,
CUST0000599963,200803,2008,3,,,,
CUST0000624650,200701,2007,1,,,,
CUST0000694222,200701,2007,1,,200702,,
CUST0000709471,200606,2006,6,,,,
CUST0000726145,200803,2008,3,,,,
CUST0000741458,200704,2007,4,,200707,,
CUST0000742814,200605,2006,5,,200606,,
CUST0000756074,200607,2006,7,,200706,,
CUST0000773226,200605,2006,5,,200606,,
CUST0000795634,200604,2006,4,,200707,,
CUST0000798710,200710,2007,10,,,,
CUST0000821404,200604,2006,4,,,,
CUST0000835947,200612,2006,12,,,,
CUST0000856016,200607,2006,7,,200609,,
CUST0000857882,200703,2007,3,,,,
CUST0000873472,200605,2006,5,,200705,,
CUST0000875754,200703,2007,3,,200706,,
CUST0000889810,200701,2007,1,,,,
CUST0000893334,200612,2006,12,,200701,,
CUST0000919230,200702,2007,2,,200805,,
CUST0000949466,200702,2007,2,,,,
CUST0000978257,200606,2006,6,,,,
CUST0000978453,200707,2007,7,,,,
CUST0000985195,200604,2006,4,,200605,,
CUST0000988467,200608,2006,8,,200610,,
CUST0000047082,200606,2006,6,,200607,,
CUST0000061502,200604,2006,4,,200605,,
CUST0000075952,200609,2006,9,,200805,,
CUST0000089067,200710,2007,10,,,,
CUST0000132294,200701,2007,1,,,,
CUST0000165142,200711,2007,11,,,,
CUST0000172021,200706,2007,6,,200709,,
CUST0000177847,200801,2008,1,,,,
CUST0000180285,200610,2006,10,,200802,,
CUST0000184646,200607,2006,7,,200608,,
CUST0000191132,200707,2007,7,,,,
CUST0000191962,200606,2006,6,,200611,,
CUST0000192457,200709,2007,9,,200710,,
CUST0000193124,200703,2007,3,,200706,,
CUST0000228163,200712,2007,12,,,,
CUST0000229381,200704,2007,4,,,,
CUST0000249241,200712,2007,12,,,,
CUST0000252109,200709,2007,9,,,,
CUST0000281334,200605,2006,5,,200702,,
CUST0000291269,200709,2007,9,,,,
CUST0000297515,200605,2006,5,,200607,,
CUST0000324501,200705,2007,5,,,,
CUST0000327578,200605,2006,5,,200607,,
CUST0000335965,200708,2007,8,,,,
CUST0000350600,200708,2007,8,,200709,,
CUST0000363399,200712,2007,12,,,,
CUST0000385802,200604,2006,4,,200607,,
CUST0000408773,200605,2006,5,,200606,,
CUST0000414687,200609,2006,9,,,,
CUST0000457380,200608,2006,8,,200703,,
CUST0000464409,200604,2006,4,,200605,,
CUST0000464810,200711,2007,11,,,,
CUST0000482602,200712,2007,12,,,,
CUST0000508684,200712,2007,12,,200801,,
CUST0000512131,200604,2006,4,,200605,,
CUST0000546643,200704,2007,4,,,,
CUST0000597333,200605,2006,5,,200606,,
CUST0000597745,200711,2007,11,,,,
CUST0000600303,200606,2006,6,,200611,,
CUST0000626455,200704,2007,4,,,,
CUST0000632619,200607,2006,7,,200612,,
CUST0000632910,200605,2006,5,,,,
CUST0000651294,200608,2006,8,,,,
CUST0000660477,200803,2008,3,,,,
CUST0000665351,200604,2006,4,,200605,,
CUST0000686175,200610,2006,10,,200611,,
CUST0000692703,200604,2006,4,,200605,,
CUST0000705667,200704,2007,4,,200709,,
CUST0000739526,200610,2006,10,,200703,,
CUST0000766708,200804,2008,4,,,,
CUST0000779740,200702,2007,2,,200805,,
CUST0000789571,200604,2006,4,,200605,,
CUST0000792393,200708,2007,8,,200807,,
CUST0000797905,200605,2006,5,,200606,,
CUST0000803126,200609,2006,9,,,,
CUST0000820862,200611,2006,11,,200612,,
CUST0000821922,200604,2006,4,,200605,,
CUST0000856060,200607,2006,7,,200609,,
CUST0000871534,200604,2006,4,,200607,,
CUST0000883628,200607,2006,7,,,,
CUST0000913303,200605,2006,5,,200607,,
CUST0000916687,200612,2006,12,,200702,,
CUST0000989297,200611,2006,11,,200705,,
CUST0000995305,200609,2006,9,,200610,,
CUST0000996753,200604,2006,4,,200605,,
CUST0000000998,200605,2006,5,,200607,,
CUST0000019732,200702,2007,2,,200705,,
CUST0000030095,200611,2006,11,,200701,,
CUST0000042411,200710,2007,10,,,,
CUST0000057304,200604,2006,4,,200605,,
CUST0000071039,200801,2008,1,,,,
CUST0000074469,200612,2006,12,,,,
CUST0000074952,200607,2006,7,,200805,,
CUST0000075764,200605,2006,5,,200606,,
CUST0000149498,200712,2007,12,,200804,,
CUST0000165133,200712,2007,12,,,,
CUST0000209261,200606,2006,6,,200607,,
CUST0000227992,200606,2006,6,,200609,,
CUST0000251039,200605,2006,5,,,,
CUST0000253569,200702,2007,2,,,,
CUST0000256627,200604,2006,4,,200605,,
CUST0000271658,200709,2007,9,,200712,,
CUST0000334672,200606,2006,6,,200609,,
CUST0000349244,200608,2006,8,,200707,,
CUST0000369723,200606,2006,6,,,,
CUST0000383931,200606,2006,6,,200609,,
CUST0000430446,200604,2006,4,,200605,,
CUST0000464298,200610,2006,10,,200611,,
CUST0000470391,200707,2007,7,,200806,,
CUST0000491604,200706,2007,6,,,,
CUST0000499187,200710,2007,10,,,,
CUST0000526252,200606,2006,6,,200607,,
CUST0000529669,200703,2007,3,,200804,,
CUST0000534088,200612,2006,12,,,,
CUST0000538325,200706,2007,6,,,,
CUST0000542357,200604,2006,4,,200605,,
CUST0000561205,200604,2006,4,,200605,,
CUST0000565842,200801,2008,1,,,,
CUST0000583261,200608,2006,8,,200609,,
CUST0000584803,200604,2006,4,,200605,,
CUST0000607420,200705,2007,5,,200706,,
CUST0000614876,200607,2006,7,,200609,,
CUST0000642077,200612,2006,12,,,,
CUST0000671732,200705,2007,5,,,,
CUST0000682174,200711,2007,11,,200803,,
CUST0000697268,200604,2006,4,,200605,,
CUST0000701004,200612,2006,12,,,,
CUST0000729507,200704,2007,4,,200706,,
CUST0000751869,200605,2006,5,,200609,,
CUST0000753873,200801,2008,1,,,,
CUST0000764680,200706,2007,6,,200707,,
CUST0000779849,200604,2006,4,,200605,,
CUST0000784507,200710,2007,10,,200712,,
CUST0000812339,200607,2006,7,,,,
CUST0000813347,200608,2006,8,,200609,,
CUST0000822533,200802,2008,2,,,,
CUST0000849223,200604,2006,4,,200605,,
CUST0000852856,200708,2007,8,,,,
CUST0000894317,200610,2006,10,,,,
CUST0000961785,200704,2007,4,,200710,,
CUST0000971863,200607,2006,7,,200611,,
CUST0000981616,200803,2008,3,,,,
CUST0000985309,200604,2006,4,,200605,,
CUST0000986071,200707,2007,7,,200710,,
CUST0000995409,200708,2007,8,,,,
CUST0000077064,200604,2006,4,,200605,,
CUST0000083392,200608,2006,8,,200703,,
CUST0000095149,200607,2006,7,,200710,,
CUST0000098160,200608,2006,8,,200609,,
CUST0000102405,200606,2006,6,,200608,,
CUST0000107974,200604,2006,4,,200605,,
CUST0000135248,200607,2006,7,,200608,,
CUST0000179354,200802,2008,2,,,,
CUST0000194462,200704,2007,4,,200801,,
CUST0000205754,200611,2006,11,,,,
CUST0000240334,200710,2007,10,,,,
CUST0000255107,200711,2007,11,,200801,,
CUST0000257189,200707,2007,7,,200712,,
CUST0000259539,200609,2006,9,,,,
CUST0000259688,200706,2007,6,,,,
CUST0000286555,200703,2007,3,,200806,,
CUST0000303829,200604,2006,4,,200605,,
CUST0000315496,200804,2008,4,,,,
CUST0000321672,200710,2007,10,,,,
CUST0000327196,200706,2007,6,,200804,,
CUST0000327573,200604,2006,4,,,,
CUST0000370053,200604,2006,4,,200605,,
CUST0000398783,200706,2007,6,,200707,,
CUST0000415504,200709,2007,9,,,,
CUST0000416384,200604,2006,4,,200612,,
CUST0000440705,200704,2007,4,,,,
CUST0000453310,200707,2007,7,,200712,,
CUST0000453414,200611,2006,11,,200710,,
CUST0000464388,200705,2007,5,,200706,,
CUST0000481562,200711,2007,11,,,,
CUST0000486685,200610,2006,10,,200611,,
CUST0000537231,200604,2006,4,,200605,,
CUST0000553169,200607,2006,7,,200608,,
CUST0000569046,200709,2007,9,,,,
CUST0000577249,200612,2006,12,,200704,,
CUST0000613822,200702,2007,2,,200803,,
CUST0000625521,200605,2006,5,,200606,,
CUST0000662527,200608,2006,8,,200610,,
CUST0000672155,200607,2006,7,,,,
CUST0000763612,200608,2006,8,,200612,,
CUST0000781202,200712,2007,12,,,,
CUST0000807555,200703,2007,3,,200704,,
CUST0000833340,200709,2007,9,,,,
CUST0000850824,200608,2006,8,,,,
CUST0000864136,200701,2007,1,,200706,,
CUST0000869224,200605,2006,5,,200609,,
CUST0000870844,200611,2006,11,,,,
CUST0000870918,200605,2006,5,,,,
CUST0000876643,200606,2006,6,,,,
CUST0000878338,200701,2007,1,,200703,,
CUST0000890409,200609,2006,9,,200611,,
CUST0000892395,200706,2007,6,,,,
CUST0000917849,200704,2007,4,,,,
CUST0000926873,200609,2006,9,,,,
CUST0000931043,200708,2007,8,,200709,,
CUST0000941171,200605,2006,5,,200606,,
CUST0000981904,200604,2006,4,,,,
CUST0000999593,200605,2006,5,,200608,,
CUST0000078858,200607,2006,7,,,,
CUST0000105068,200707,2007,7,,,,
CUST0000130737,200606,2006,6,,,,
CUST0000134775,200606,2006,6,,200607,,
CUST0000144475,200609,2006,9,,200610,,
CUST0000169355,200604,2006,4,,200607,,
CUST0000179572,200705,2007,5,,200706,,
CUST0000212674,200709,2007,9,,,,
CUST0000248821,200607,2006,7,,200701,,
CUST0000279910,200609,2006,9,,200702,,
CUST0000321827,200607,2006,7,,,,
CUST0000331640,200604,2006,4,,200605,,
CUST0000356435,200608,2006,8,,,,
CUST0000373521,200608,2006,8,,,,
CUST0000398442,200608,2006,8,,200609,,
CUST0000400261,200801,2008,1,,200802,,
CUST0000469241,200611,2006,11,,200612,,
CUST0000502707,200608,2006,8,,,,
CUST0000517170,200709,2007,9,,200710,,
CUST0000526833,200604,2006,4,,200606,,
CUST0000552301,200609,2006,9,,200610,,
CUST0000559941,200607,2006,7,,200608,,
CUST0000562344,200605,2006,5,,,,
CUST0000598721,200803,2008,3,,,,
CUST0000599239,200708,2007,8,,,,
CUST0000603436,200607,2006,7,,,,
CUST0000627845,200801,2008,1,,,,
CUST0000631911,200604,2006,4,,200605,,
CUST0000642873,200609,2006,9,,200610,,
CUST0000672817,200704,2007,4,,200705,,
CUST0000684249,200701,2007,1,,,,
CUST0000686063,200708,2007,8,,200804,,
CUST0000692659,200608,2006,8,,,,
CUST0000695932,200703,2007,3,,,,
CUST0000723290,200707,2007,7,,200804,,
CUST0000729834,200610,2006,10,,200712,,
CUST0000750655,200606,2006,6,,200610,,
CUST0000757776,200604,2006,4,,200605,,
CUST0000796990,200706,2007,6,,200802,,
CUST0000848108,200604,2006,4,,200605,,
CUST0000851599,200610,2006,10,,200701,,
CUST0000899952,200604,2006,4,,200606,,
CUST0000902177,200711,2007,11,,200712,,
CUST0000916559,200707,2007,7,,,,
CUST0000917850,200710,2007,10,,200711,,
CUST0000925041,200608,2006,8,,200611,,
CUST0000937197,200604,2006,4,,200605,,
CUST0000942900,200607,2006,7,,200608,,
CUST0000963130,200707,2007,7,,,,
CUST0000972325,200712,2007,12,,,,
CUST0000006193,200702,2007,2,,200704,,
CUST0000010500,200607,2006,7,,,,
CUST0000036012,200610,2006,10,,200701,,
CUST0000036238,200605,2006,5,,200611,,
CUST0000042816,200607,2006,7,,,,
CUST0000044051,200604,2006,4,,200605,,
CUST0000049295,200608,2006,8,,200611,,
CUST0000049579,200607,2006,7,,,,
CUST0000075967,200710,2007,10,,200802,,
CUST0000092356,200705,2007,5,,200707,,
CUST0000099009,200702,2007,2,,200703,,
CUST0000102619,200609,2006,9,,,,
CUST0000103569,200604,2006,4,,,,
CUST0000104536,200606,2006,6,,200607,,
CUST0000128568,200706,2007,6,,,,
CUST0000133268,200704,2007,4,,,,
CUST0000141402,200704,2007,4,,200706,,
CUST0000147932,200607,2006,7,,200708,,
CUST0000172126,200604,2006,4,,200605,,
CUST0000210800,200705,2007,5,,200712,,
CUST0000212238,200612,2006,12,,,,
CUST0000219393,200608,2006,8,,,,
CUST0000260440,200608,2006,8,,200609,,
CUST0000262522,200608,2006,8,,200610,,
CUST0000262951,200803,2008,3,,,,
CUST0000263970,200604,2006,4,,200605,,
CUST0000283533,200604,2006,4,,200605,,
CUST0000300125,200611,2006,11,,,,
CUST0000317284,200708,2007,8,,,,
CUST0000345505,200705,2007,5,,,,
CUST0000357071,200709,2007,9,,200710,,
CUST0000371341,200608,2006,8,,,,
CUST0000378759,200611,2006,11,,,,
CUST0000381088,200604,2006,4,,200605,,
CUST0000399671,200604,2006,4,,200606,,
CUST0000446202,200604,2006,4,,200610,,
CUST0000446845,200605,2006,5,,200607,,
CUST0000514798,200710,2007,10,,200807,,
CUST0000525497,200606,2006,6,,200607,,
CUST0000538046,200710,2007,10,,200806,,
CUST0000566462,200706,2007,6,,,,
CUST0000578570,200705,2007,5,,200706,,
CUST0000590555,200711,2007,11,,200802,,
CUST0000597738,200705,2007,5,,,,
CUST0000600863,200702,2007,2,,200802,,
CUST0000659438,200612,2006,12,,200701,,
CUST0000662414,200605,2006,5,,200608,,
CUST0000689580,200604,2006,4,,200605,,
CUST0000697258,200704,2007,4,,,,
CUST0000723950,200607,2006,7,,200608,,
CUST0000728900,200604,2006,4,,200607,,
CUST0000733530,200609,2006,9,,,,
CUST0000738557,200604,2006,4,,200605,,
CUST0000771768,200604,2006,4,,200605,,
CUST0000774398,200607,2006,7,,200806,,
CUST0000819966,200706,2007,6,,200707,,
CUST0000820340,200605,2006,5,,200607,,
CUST0000820369,200606,2006,6,,,,
CUST0000828190,200610,2006,10,,200702,,
CUST0000835649,200706,2007,6,,,,
CUST0000845375,200604,2006,4,,200605,,
CUST0000912483,200705,2007,5,,,,
CUST0000930029,200612,2006,12,,,,
CUST0000956351,200605,2006,5,,200606,,
CUST0000961954,200612,2006,12,,200703,,
CUST0000970401,200610,2006,10,,200702,,
CUST0000992881,200708,2007,8,,,,
CUST0000009065,200711,2007,11,,,,
CUST0000040225,200609,2006,9,,200612,,
CUST0000081078,200605,2006,5,,200609,,
CUST0000091703,200605,2006,5,,200607,,
CUST0000125360,200607,2006,7,,200609,,
CUST0000127177,200609,2006,9,,,,
CUST0000131598,200611,2006,11,,,,
CUST0000144432,200604,2006,4,,200607,,
CUST0000150097,200609,2006,9,,,,
CUST0000177536,200604,2006,4,,200605,,
CUST0000196176,200711,2007,11,,,,
CUST0000197571,200605,2006,5,,200607,,
CUST0000233323,200607,2006,7,,200610,,
CUST0000242943,200612,2006,12,,200703,,
CUST0000268918,200606,2006,6,,200608,,
CUST0000294281,200607,2006,7,,200608,,
CUST0000295948,200612,2006,12,,,,
CUST0000310624,200609,2006,9,,200611,,
CUST0000314808,200803,2008,3,,,,
CUST0000318574,200611,2006,11,,,,
CUST0000322279,200702,2007,2,,,,
CUST0000326585,200604,2006,4,,200605,,
CUST0000328290,200610,2006,10,,200805,,
CUST0000335195,200701,2007,1,,,,
CUST0000336898,200609,2006,9,,,,
CUST0000353323,200604,2006,4,,200608,,
CUST0000368057,200608,2006,8,,200704,,
CUST0000392892,200605,2006,5,,200804,,
CUST0000400006,200605,2006,5,,200608,,
CUST0000435195,200610,2006,10,,200612,,
CUST0000441202,200605,2006,5,,200707,,
CUST0000463467,200711,2007,11,,200803,,
CUST0000470977,200701,2007,1,,,,
CUST0000496363,200707,2007,7,,200709,,
CUST0000510851,200609,2006,9,,200610,,
CUST0000523288,200605,2006,5,,200606,,
CUST0000530965,200709,2007,9,,200710,,
CUST0000558734,200709,2007,9,,,,
CUST0000587643,200606,2006,6,,200607,,
CUST0000590382,200604,2006,4,,200605,,
CUST0000597903,200610,2006,10,,200804,,
CUST0000614847,200702,2007,2,,,,
CUST0000622535,200604,2006,4,,200605,,
CUST0000622966,200608,2006,8,,,,
CUST0000625441,200604,2006,4,,200605,,
CUST0000634884,200612,2006,12,,200711,,
CUST0000642390,200605,2006,5,,,,
CUST0000652377,200710,2007,10,,,,
CUST0000657980,200610,2006,10,,200611,,
CUST0000661988,200607,2006,7,,200701,,
CUST0000680107,200708,2007,8,,,,
CUST0000749642,200608,2006,8,,200609,,
CUST0000812185,200707,2007,7,,200805,,
CUST0000826930,200802,2008,2,,,,
CUST0000831057,200607,2006,7,,,,
CUST0000856818,200710,2007,10,,,,
CUST0000866973,200607,2006,7,,200612,,
CUST0000868188,200709,2007,9,,,,
CUST0000875622,200703,2007,3,,200706,,
CUST0000886802,200609,2006,9,,200610,,
CUST0000906935,200801,2008,1,,200803,,
CUST0000940412,200701,2007,1,,,,
CUST0000943026,200709,2007,9,,,,
CUST0000959897,200712,2007,12,,,,
CUST0000988001,200604,2006,4,,200605,,
CUST0000035243,200609,2006,9,,200610,,
CUST0000044205,200604,2006,4,,,,
CUST0000063026,200612,2006,12,,,,
CUST0000079699,200606,2006,6,,200607,,
CUST0000096236,200710,2007,10,,200712,,
CUST0000102819,200606,2006,6,,,,
CUST0000144501,200605,2006,5,,,,
CUST0000151364,200605,2006,5,,200608,,
CUST0000165054,200606,2006,6,,200608,,
CUST0000179429,200801,2008,1,,,,
CUST0000187532,200706,2007,6,,,,
CUST0000197423,200604,2006,4,,200605,,
CUST0000198819,200606,2006,6,,200610,,
CUST0000200083,200605,2006,5,,200606,,
CUST0000210661,200608,2006,8,,200701,,
CUST0000213069,200606,2006,6,,200608,,
CUST0000214997,200703,2007,3,,200704,,
CUST0000247385,200610,2006,10,,200705,,
CUST0000341862,200612,2006,12,,,,
CUST0000401090,200702,2007,2,,200805,,
CUST0000414799,200702,2007,2,,200703,,
CUST0000444640,200712,2007,12,,200801,,
CUST0000449375,200708,2007,8,,,,
CUST0000460580,200702,2007,2,,,,
CUST0000468727,200712,2007,12,,,,
CUST0000470040,200605,2006,5,,200606,,
CUST0000477797,200612,2006,12,,,,
CUST0000490741,200604,2006,4,,200607,,
CUST0000493580,200610,2006,10,,200612,,
CUST0000513272,200604,2006,4,,200605,,
CUST0000530579,200709,2007,9,,,,
CUST0000533768,200703,2007,3,,,,
CUST0000552058,200604,2006,4,,200606,,
CUST0000561915,200604,2006,4,,200605,,
CUST0000633953,200607,2006,7,,200608,,
CUST0000642271,200609,2006,9,,200611,,
CUST0000675279,200706,2007,6,,,,
CUST0000680894,200609,2006,9,,200612,,
CUST0000705199,200604,2006,4,,200605,,
CUST0000705973,200606,2006,6,,200607,,
CUST0000711962,200712,2007,12,,,,
CUST0000754113,200604,2006,4,,200605,,
CUST0000773032,200604,2006,4,,200605,,
CUST0000774174,200704,2007,4,,,,
CUST0000777817,200607,2006,7,,200608,,
